date,temperature,pressure,humidity,water
4/14/2015 13:30:00,25.0,1011.1,42.0,0
4/14/2015 13:40:00,24.9,1011.1,42.0,0
4/14/2015 13:50:00,24.6,1011.1,44.0,0
4/14/2015 14:00:00,25.1,1010.7,42.0,0
4/14/2015 14:10:00,24.7,1010.4,43.0,0
4/14/2015 14:20:00,25.3,1010.0,42.0,0
4/14/2015 14:30:00,25.2,1009.7,41.0,0
4/14/2015 14:40:00,24.9,1009.7,42.0,0
4/14/2015 14:50:00,25.2,1009.4,40.0,0
4/14/2015 15:00:00,25.2,1009.4,40.0,0
4/14/2015 15:10:00,25.3,1009.0,40.0,0
4/14/2015 15:20:00,25.3,1008.7,38.0,0
4/14/2015 15:30:00,25.3,1008.7,39.0,0
4/14/2015 15:40:00,25.3,1008.4,38.0,0
4/14/2015 15:50:00,25.4,1008.0,38.0,0
4/14/2015 16:00:00,25.7,1007.7,36.0,0
4/14/2015 16:10:00,26.6,1007.3,34.0,0
4/14/2015 16:20:00,26.1,1007.3,35.0,0
4/14/2015 16:30:00,26.3,1007.3,34.0,0
4/14/2015 16:40:00,26.6,1007.3,32.0,0
4/14/2015 16:50:00,26.6,1007.0,31.0,0
4/14/2015 17:00:00,26.9,1007.0,28.0,1
4/14/2015 17:10:00,27.2,1006.7,28.0,1
4/14/2015 17:20:00,27.1,1007.0,28.0,1
4/14/2015 17:30:00,27.3,1006.7,27.0,1
4/14/2015 17:40:00,27.2,1006.7,28.0,1
4/14/2015 17:50:00,26.8,1006.3,31.0,1
4/14/2015 18:00:00,26.9,1006.3,31.0,1
4/14/2015 18:10:00,26.8,1006.7,31.0,1
4/14/2015 18:20:00,26.5,1006.7,32.0,1
4/14/2015 18:30:00,26.5,1006.7,33.0,1
4/14/2015 18:40:00,26.5,1006.7,33.0,1
4/14/2015 18:50:00,26.3,1006.7,34.0,1
4/14/2015 19:00:00,26.2,1006.7,35.0,1
4/14/2015 19:10:00,26.0,1006.7,35.0,1
4/14/2015 19:20:00,25.7,1007.0,36.0,1
4/14/2015 19:30:00,25.4,1007.0,36.0,1
4/14/2015 19:40:00,25.3,1007.3,38.0,1
4/14/2015 19:50:00,25.1,1007.0,38.0,1
4/14/2015 20:00:00,25.0,1007.0,37.0,1
4/14/2015 20:10:00,24.9,1007.3,38.0,1
4/14/2015 20:20:00,24.8,1007.3,38.0,1
4/14/2015 20:30:00,24.8,1007.7,37.0,1
4/14/2015 20:40:00,24.3,1008.0,40.0,1
4/14/2015 20:50:00,23.4,1008.0,42.0,1
4/14/2015 21:00:00,22.5,1008.4,45.0,0
4/14/2015 21:10:00,22.2,1008.4,45.0,0
4/14/2015 21:20:00,22.2,1008.7,44.0,0
4/14/2015 21:30:00,22.0,1009.0,44.0,0
4/14/2015 21:40:00,21.9,1009.4,44.0,0
4/14/2015 21:50:00,21.6,1009.4,47.0,0
4/14/2015 22:00:00,21.0,1009.4,49.0,0
4/14/2015 22:10:00,20.8,1009.4,49.0,0
4/14/2015 22:20:00,20.8,1009.7,49.0,0
4/14/2015 22:30:00,20.7,1009.7,49.0,0
4/14/2015 22:40:00,20.8,1009.7,50.0,0
4/14/2015 22:50:00,20.9,1010.0,49.0,0
4/14/2015 23:00:00,21.0,1010.0,49.0,0
4/14/2015 23:10:00,21.1,1010.0,49.0,0
4/14/2015 23:20:00,20.8,1010.0,48.0,0
4/14/2015 23:30:00,20.4,1010.4,57.0,0
4/14/2015 23:40:00,20.2,1010.4,62.0,0
4/14/2015 23:50:00,19.7,1010.4,68.0,0
4/15/2015 0:00:00,19.5,1010.4,70.0,0
4/15/2015 0:10:00,19.3,1010.4,70.0,0
4/15/2015 0:20:00,19.2,1010.0,70.0,0
4/15/2015 0:30:00,19.1,1010.4,70.0,0
4/15/2015 0:40:00,19.0,1010.4,70.0,0
4/15/2015 0:50:00,18.8,1010.0,71.0,0
4/15/2015 1:00:00,18.6,1010.4,71.0,0
4/15/2015 1:10:00,18.5,1010.0,72.0,0
4/15/2015 1:20:00,18.4,1010.0,72.0,0
4/15/2015 1:30:00,18.2,1010.0,72.0,0
4/15/2015 1:40:00,17.9,1009.7,74.0,0
4/15/2015 1:50:00,17.7,1009.7,74.0,0
4/15/2015 2:00:00,17.4,1009.7,75.0,0
4/15/2015 2:10:00,17.3,1009.4,76.0,0
4/15/2015 2:20:00,17.2,1009.4,77.0,0
4/15/2015 2:30:00,17.1,1009.4,77.0,0
4/15/2015 2:40:00,17.1,1009.4,78.0,0
4/15/2015 2:50:00,16.9,1009.0,78.0,0
4/15/2015 3:00:00,16.8,1009.0,80.0,0
4/15/2015 3:10:00,16.9,1009.0,79.0,0
4/15/2015 3:20:00,16.8,1009.0,80.0,0
4/15/2015 3:30:00,16.9,1009.0,79.0,0
4/15/2015 3:40:00,16.8,1008.7,80.0,0
4/15/2015 3:50:00,16.6,1008.7,80.0,0
4/15/2015 4:00:00,16.4,1008.7,81.0,0
4/15/2015 4:10:00,16.3,1008.4,81.0,0
4/15/2015 4:20:00,16.1,1008.4,82.0,0
4/15/2015 4:30:00,16.1,1008.4,82.0,0
4/15/2015 4:40:00,16.1,1008.4,82.0,0
4/15/2015 4:50:00,16.1,1008.0,82.0,0
4/15/2015 5:00:00,15.9,1008.4,83.0,0
4/15/2015 5:10:00,15.9,1008.4,83.0,0
4/15/2015 5:20:00,15.9,1008.0,84.0,0
4/15/2015 5:30:00,15.8,1008.4,84.0,0
4/15/2015 5:40:00,15.8,1008.0,84.0,0
4/15/2015 5:50:00,15.7,1008.0,84.0,0
4/15/2015 6:00:00,15.6,1008.0,84.0,0
4/15/2015 6:10:00,15.6,1008.4,84.0,0
4/15/2015 6:20:00,15.6,1008.4,85.0,0
4/15/2015 6:30:00,15.6,1008.4,85.0,0
4/15/2015 6:40:00,15.6,1008.4,84.0,0
4/15/2015 6:50:00,15.4,1008.4,84.0,0
4/15/2015 7:00:00,15.4,1008.7,84.0,0
4/15/2015 7:10:00,15.3,1008.7,84.0,0
4/15/2015 7:20:00,15.3,1008.7,85.0,0
4/15/2015 7:30:00,15.3,1008.7,85.0,0
4/15/2015 7:40:00,15.3,1008.7,85.0,0
4/15/2015 7:50:00,15.5,1009.0,84.0,0
4/15/2015 8:00:00,15.7,1009.0,83.0,0
4/15/2015 8:10:00,15.9,1009.0,83.0,0
4/15/2015 8:20:00,16.2,1009.4,82.0,0
4/15/2015 8:30:00,16.4,1009.4,81.0,0
4/15/2015 8:40:00,16.6,1009.7,80.0,0
4/15/2015 8:50:00,16.3,1010.0,81.0,0
4/15/2015 9:00:00,15.8,1010.0,84.0,0
4/15/2015 9:10:00,15.6,1010.0,85.0,0
4/15/2015 9:20:00,15.9,1010.0,85.0,0
4/15/2015 9:30:00,16.2,1010.0,84.0,0
4/15/2015 9:40:00,16.5,1010.4,83.0,0
4/15/2015 9:50:00,16.8,1010.4,82.0,0
4/15/2015 10:00:00,17.2,1010.4,79.0,0
4/15/2015 10:10:00,17.9,1010.4,78.0,0
4/15/2015 10:20:00,18.6,1010.4,74.0,0
4/15/2015 10:30:00,19.2,1010.4,71.0,0
4/15/2015 10:40:00,20.2,1010.4,66.0,0
4/15/2015 10:50:00,20.8,1010.0,55.0,1
4/15/2015 11:00:00,21.3,1010.4,52.0,0
4/15/2015 11:10:00,21.4,1010.4,49.0,0
4/15/2015 11:20:00,22.5,1010.4,44.0,0
4/15/2015 11:30:00,22.7,1010.0,44.0,0
4/15/2015 11:40:00,22.2,1010.0,44.0,0
4/15/2015 11:50:00,23.3,1010.0,41.0,0
4/15/2015 12:00:00,22.9,1010.0,41.0,0
4/15/2015 12:10:00,22.7,1009.7,41.0,0
4/15/2015 12:20:00,23.3,1009.7,40.0,0
4/15/2015 12:30:00,23.9,1009.7,40.0,0
4/15/2015 12:40:00,24.3,1009.7,38.0,0
4/15/2015 12:50:00,23.7,1009.4,37.0,0
4/15/2015 13:00:00,23.8,1009.4,37.0,0
4/15/2015 13:10:00,23.8,1009.4,37.0,0
4/15/2015 13:20:00,24.1,1009.0,37.0,0
4/15/2015 13:30:00,24.7,1008.7,36.0,0
4/15/2015 13:40:00,24.9,1008.7,36.0,0
4/15/2015 13:50:00,24.7,1008.4,36.0,0
4/15/2015 14:00:00,24.9,1008.4,37.0,0
4/15/2015 14:10:00,24.6,1008.4,38.0,0
4/15/2015 14:20:00,25.2,1008.0,36.0,0
4/15/2015 14:30:00,25.3,1007.7,36.0,0
4/15/2015 14:40:00,25.5,1007.3,36.0,0
4/15/2015 14:50:00,25.4,1007.3,36.0,0
4/15/2015 15:00:00,25.7,1007.0,36.0,0
4/15/2015 15:10:00,25.9,1006.7,36.0,0
4/15/2015 15:20:00,26.1,1006.3,35.0,0
4/15/2015 15:30:00,26.2,1006.0,35.0,0
4/15/2015 15:40:00,26.7,1006.0,34.0,0
4/15/2015 15:50:00,26.5,1005.6,34.0,0
4/15/2015 16:00:00,26.6,1005.6,34.0,0
4/15/2015 16:10:00,26.9,1005.3,32.0,0
4/15/2015 16:20:00,27.4,1005.3,31.0,0
4/15/2015 16:30:00,27.2,1005.0,29.0,0
4/15/2015 16:40:00,27.4,1004.6,29.0,0
4/15/2015 16:50:00,27.8,1004.6,24.0,0
4/15/2015 17:00:00,27.9,1004.6,24.0,1
4/15/2015 17:10:00,28.3,1005.0,23.0,1
4/15/2015 17:20:00,28.2,1004.6,20.0,1
4/15/2015 17:30:00,28.1,1004.6,20.0,1
4/15/2015 17:40:00,27.9,1005.0,20.0,1
4/15/2015 17:50:00,27.9,1005.0,21.0,1
4/15/2015 18:00:00,27.3,1005.0,25.0,1
4/15/2015 18:10:00,26.6,1005.0,27.0,1
4/15/2015 18:20:00,26.3,1005.3,27.0,1
4/15/2015 18:30:00,26.3,1005.3,28.0,1
4/15/2015 18:40:00,26.4,1005.3,28.0,1
4/15/2015 18:50:00,26.7,1005.3,29.0,1
4/15/2015 19:00:00,26.2,1005.6,31.0,1
4/15/2015 19:10:00,25.9,1005.6,31.0,1
4/15/2015 19:20:00,25.7,1006.0,32.0,1
4/15/2015 19:30:00,25.7,1006.0,32.0,1
4/15/2015 19:40:00,25.5,1006.3,32.0,1
4/15/2015 19:50:00,25.4,1006.3,33.0,1
4/15/2015 20:00:00,25.2,1006.7,32.0,1
4/15/2015 20:10:00,25.1,1007.0,31.0,1
4/15/2015 20:20:00,24.9,1007.0,31.0,1
4/15/2015 20:30:00,24.7,1007.3,31.0,1
4/15/2015 20:40:00,24.6,1007.3,32.0,1
4/15/2015 20:50:00,24.3,1007.3,32.0,1
4/15/2015 21:00:00,24.1,1007.7,32.0,0
4/15/2015 21:10:00,23.8,1007.7,32.0,0
4/15/2015 21:20:00,23.6,1008.0,33.0,0
4/15/2015 21:30:00,23.3,1008.0,34.0,0
4/15/2015 21:40:00,23.1,1008.4,34.0,0
4/15/2015 21:50:00,22.9,1008.4,34.0,0
4/15/2015 22:00:00,22.6,1008.7,35.0,0
4/15/2015 22:10:00,22.5,1008.7,36.0,0
4/15/2015 22:20:00,22.3,1008.7,37.0,0
4/15/2015 22:30:00,22.1,1008.7,38.0,0
4/15/2015 22:40:00,21.8,1009.0,38.0,0
4/15/2015 22:50:00,21.7,1009.0,39.0,0
4/15/2015 23:00:00,21.5,1009.0,39.0,0
4/15/2015 23:10:00,21.2,1009.4,40.0,0
4/15/2015 23:20:00,21.0,1009.4,41.0,0
4/15/2015 23:30:00,20.9,1009.4,41.0,0
4/15/2015 23:40:00,20.8,1009.4,41.0,0
4/15/2015 23:50:00,20.7,1009.7,41.0,0
4/16/2015 0:00:00,20.6,1009.7,42.0,0
4/16/2015 0:10:00,20.5,1009.7,43.0,0
4/16/2015 0:20:00,20.4,1009.7,42.0,0
4/16/2015 0:30:00,20.2,1009.7,43.0,0
4/16/2015 0:40:00,20.0,1009.7,42.0,0
4/16/2015 0:50:00,19.8,1009.7,43.0,0
4/16/2015 1:00:00,19.7,1009.4,43.0,0
4/16/2015 1:10:00,19.7,1009.4,42.0,0
4/16/2015 1:20:00,19.4,1009.7,42.0,0
4/16/2015 1:30:00,19.2,1009.4,43.0,0
4/16/2015 1:40:00,19.2,1009.0,43.0,0
4/16/2015 1:50:00,19.1,1009.0,42.0,0
4/16/2015 2:00:00,19.1,1008.7,42.0,0
4/16/2015 2:10:00,19.0,1008.7,43.0,0
4/16/2015 2:20:00,18.9,1008.7,44.0,0
4/16/2015 2:30:00,18.6,1008.7,46.0,0
4/16/2015 2:40:00,18.0,1008.7,50.0,0
4/16/2015 2:50:00,17.2,1008.4,54.0,0
4/16/2015 3:00:00,16.4,1008.4,57.0,0
4/16/2015 3:10:00,16.1,1008.4,58.0,0
4/16/2015 3:20:00,16.0,1008.4,59.0,0
4/16/2015 3:30:00,15.9,1008.4,59.0,0
4/16/2015 3:40:00,15.8,1008.4,58.0,0
4/16/2015 3:50:00,15.7,1008.4,58.0,0
4/16/2015 4:00:00,15.6,1008.4,58.0,0
4/16/2015 4:10:00,15.6,1008.4,56.0,0
4/16/2015 4:20:00,15.7,1008.4,56.0,0
4/16/2015 4:30:00,15.7,1008.0,57.0,0
4/16/2015 4:40:00,15.4,1008.4,58.0,0
4/16/2015 4:50:00,15.1,1008.4,61.0,0
4/16/2015 5:00:00,14.3,1008.4,63.0,0
4/16/2015 5:10:00,14.1,1008.4,64.0,0
4/16/2015 5:20:00,13.9,1008.4,64.0,0
4/16/2015 5:30:00,13.8,1008.7,65.0,0
4/16/2015 5:40:00,13.6,1008.4,66.0,0
4/16/2015 5:50:00,13.3,1008.7,67.0,0
4/16/2015 6:00:00,13.2,1008.7,67.0,0
4/16/2015 6:10:00,13.1,1008.7,67.0,0
4/16/2015 6:20:00,13.1,1008.7,67.0,0
4/16/2015 6:30:00,13.2,1008.7,66.0,0
4/16/2015 6:40:00,13.2,1009.0,67.0,0
4/16/2015 6:50:00,13.2,1009.0,67.0,0
4/16/2015 7:00:00,13.4,1009.0,67.0,0
4/16/2015 7:10:00,13.3,1009.4,67.0,0
4/16/2015 7:20:00,13.4,1009.4,66.0,0
4/16/2015 7:30:00,13.4,1009.7,66.0,0
4/16/2015 7:40:00,13.4,1009.7,66.0,0
4/16/2015 7:50:00,13.5,1009.7,66.0,0
4/16/2015 8:00:00,13.6,1009.7,65.0,0
4/16/2015 8:10:00,13.8,1009.7,65.0,0
4/16/2015 8:20:00,14.2,1010.0,65.0,0
4/16/2015 8:30:00,14.5,1010.0,64.0,0
4/16/2015 8:40:00,15.7,1010.0,67.0,0
4/16/2015 8:50:00,16.6,1010.4,62.0,0
4/16/2015 9:00:00,17.2,1010.4,60.0,0
4/16/2015 9:10:00,17.2,1010.4,59.0,0
4/16/2015 9:20:00,17.1,1010.4,63.0,0
4/16/2015 9:30:00,17.4,1010.4,63.0,0
4/16/2015 9:40:00,17.5,1010.4,65.0,0
4/16/2015 9:50:00,18.2,1010.4,60.0,0
4/16/2015 10:00:00,18.9,1010.4,57.0,0
4/16/2015 10:10:00,20.2,1010.4,53.0,0
4/16/2015 10:20:00,20.7,1010.4,49.0,0
4/16/2015 10:30:00,21.3,1010.4,43.0,0
4/16/2015 10:40:00,22.3,1010.4,37.0,0
4/16/2015 10:50:00,22.8,1010.4,38.0,0
4/16/2015 11:00:00,23.1,1010.4,34.0,0
4/16/2015 11:10:00,23.5,1010.4,34.0,0
4/16/2015 11:20:00,23.9,1010.4,32.0,0
4/16/2015 11:30:00,23.9,1010.4,31.0,0
4/16/2015 11:40:00,24.5,1010.0,29.0,0
4/16/2015 11:50:00,24.7,1010.0,29.0,0
4/16/2015 12:00:00,24.5,1010.0,29.0,0
4/16/2015 12:10:00,24.7,1010.0,29.0,0
4/16/2015 12:20:00,24.1,1010.0,30.0,0
4/16/2015 12:40:00,23.7,1009.7,32.0,0
4/16/2015 12:50:00,24.9,1009.4,30.0,0
4/16/2015 13:00:00,25.3,1009.0,30.0,0
4/16/2015 13:10:00,25.4,1009.0,30.0,0
4/16/2015 13:20:00,25.7,1008.7,30.0,0
4/16/2015 13:30:00,26.0,1008.7,29.0,0
4/16/2015 13:40:00,26.1,1008.4,30.0,0
4/16/2015 13:50:00,26.2,1008.4,29.0,0
4/16/2015 14:00:00,26.5,1008.0,27.0,0
4/16/2015 14:10:00,26.7,1007.7,26.0,0
4/16/2015 14:20:00,27.0,1007.3,26.0,0
4/16/2015 14:30:00,27.2,1007.3,26.0,0
4/16/2015 14:40:00,27.7,1007.0,24.0,0
4/16/2015 14:50:00,27.7,1006.7,21.0,0
4/16/2015 15:00:00,28.1,1006.3,21.0,0
4/16/2015 15:10:00,28.5,1006.3,19.0,0
4/16/2015 15:20:00,28.8,1006.3,19.0,0
4/16/2015 15:30:00,28.6,1006.0,18.0,0
4/16/2015 15:40:00,28.8,1006.0,20.0,0
4/16/2015 15:50:00,28.7,1005.6,19.0,0
4/16/2015 16:00:00,28.9,1005.3,18.0,0
4/16/2015 16:10:00,28.7,1005.3,20.0,0
4/16/2015 16:30:00,28.9,1005.0,18.0,0
4/16/2015 16:40:00,29.4,1005.0,16.0,0
4/16/2015 16:50:00,29.3,1004.6,16.0,0
4/16/2015 17:00:00,29.3,1004.6,15.0,1
4/16/2015 17:10:00,29.4,1004.6,14.0,1
4/16/2015 17:20:00,29.3,1004.6,14.0,1
4/16/2015 17:30:00,29.1,1004.6,14.0,1
4/16/2015 17:40:00,29.1,1004.6,13.0,1
4/16/2015 17:50:00,29.2,1004.6,15.0,1
4/16/2015 18:00:00,29.1,1004.6,17.0,1
4/16/2015 18:10:00,29.0,1004.3,17.0,1
4/16/2015 18:20:00,28.8,1004.3,19.0,1
4/16/2015 18:30:00,28.7,1004.6,19.0,1
4/16/2015 18:40:00,28.8,1004.6,19.0,1
4/16/2015 18:50:00,28.6,1004.6,20.0,1
4/16/2015 19:00:00,28.4,1004.6,21.0,1
4/16/2015 19:10:00,28.3,1004.6,20.0,1
4/16/2015 19:20:00,28.2,1004.6,20.0,1
4/16/2015 19:30:00,28.0,1005.0,21.0,1
4/16/2015 19:40:00,27.8,1005.0,21.0,1
4/16/2015 20:00:00,26.9,1005.3,23.0,1
4/16/2015 20:10:00,26.6,1005.6,24.0,1
4/16/2015 20:20:00,26.2,1005.6,24.0,1
4/16/2015 20:30:00,25.9,1006.0,25.0,1
4/16/2015 20:40:00,25.7,1006.0,24.0,1
4/16/2015 20:50:00,25.4,1006.0,25.0,1
4/16/2015 21:00:00,25.3,1006.3,25.0,0
4/16/2015 21:10:00,25.1,1006.7,26.0,0
4/16/2015 21:20:00,24.7,1006.7,27.0,0
4/16/2015 21:30:00,24.3,1007.0,28.0,0
4/16/2015 21:40:00,24.1,1007.3,28.0,0
4/16/2015 21:50:00,23.9,1007.3,28.0,0
4/16/2015 22:00:00,23.7,1007.7,28.0,0
4/16/2015 22:10:00,23.5,1007.7,29.0,0
4/16/2015 22:20:00,23.3,1008.0,30.0,0
4/16/2015 22:30:00,23.1,1008.0,31.0,0
4/16/2015 22:40:00,22.9,1008.0,32.0,0
4/16/2015 22:50:00,22.3,1008.4,33.0,0
4/16/2015 23:00:00,21.9,1008.4,33.0,0
4/16/2015 23:10:00,21.7,1008.4,34.0,0
4/16/2015 23:20:00,21.6,1008.7,35.0,0
4/16/2015 23:30:00,21.3,1008.7,35.0,0
4/16/2015 23:50:00,21.0,1009.0,35.0,0
4/17/2015 0:00:00,20.9,1009.0,34.0,0
4/17/2015 0:10:00,20.8,1009.4,32.0,0
4/17/2015 0:20:00,20.8,1009.4,36.0,0
4/17/2015 0:30:00,20.7,1009.4,36.0,0
4/17/2015 0:40:00,20.6,1009.4,36.0,0
4/17/2015 0:50:00,20.5,1009.4,37.0,0
4/17/2015 1:00:00,20.4,1009.4,37.0,0
4/17/2015 1:10:00,20.4,1009.4,37.0,0
4/17/2015 1:20:00,20.3,1009.4,37.0,0
4/17/2015 1:40:00,20.1,1009.4,38.0,0
4/17/2015 1:50:00,19.9,1009.4,38.0,0
4/17/2015 2:00:00,19.6,1009.0,38.0,0
4/17/2015 2:10:00,19.4,1009.0,39.0,0
4/17/2015 2:20:00,19.1,1009.0,39.0,0
4/17/2015 2:30:00,18.9,1009.0,41.0,0
4/17/2015 2:40:00,18.7,1009.0,42.0,0
4/17/2015 2:50:00,18.5,1009.0,42.0,0
4/17/2015 3:00:00,18.4,1009.0,43.0,0
4/17/2015 3:10:00,18.2,1009.0,44.0,0
4/17/2015 3:20:00,18.2,1009.0,44.0,0
4/17/2015 3:30:00,18.1,1009.0,44.0,0
4/17/2015 3:40:00,17.8,1009.0,45.0,0
4/17/2015 3:50:00,17.8,1009.0,46.0,0
4/17/2015 4:00:00,17.4,1009.0,47.0,0
4/17/2015 4:10:00,17.0,1009.0,48.0,0
4/17/2015 4:20:00,16.4,1009.0,50.0,0
4/17/2015 4:30:00,16.1,1009.0,51.0,0
4/17/2015 4:40:00,15.9,1009.0,52.0,0
4/17/2015 4:50:00,15.7,1009.0,52.0,0
4/17/2015 5:00:00,15.6,1009.0,52.0,0
4/17/2015 5:10:00,15.4,1009.0,54.0,0
4/17/2015 5:20:00,15.2,1009.0,54.0,0
4/17/2015 5:30:00,14.8,1009.4,56.0,0
4/17/2015 5:40:00,14.6,1009.4,56.0,0
4/17/2015 5:50:00,14.5,1009.4,57.0,0
4/17/2015 6:00:00,13.9,1009.0,59.0,0
4/17/2015 6:10:00,13.6,1009.4,60.0,0
4/17/2015 6:20:00,13.4,1009.4,61.0,0
4/17/2015 6:30:00,13.5,1009.7,60.0,0
4/17/2015 6:40:00,13.6,1009.7,60.0,0
4/17/2015 6:50:00,13.8,1009.7,59.0,0
4/17/2015 7:00:00,13.8,1010.0,59.0,0
4/17/2015 7:10:00,14.0,1010.4,59.0,0
4/17/2015 7:20:00,14.1,1010.4,59.0,0
4/17/2015 7:30:00,14.2,1010.4,57.0,0
4/17/2015 7:40:00,14.3,1010.4,57.0,0
4/17/2015 7:50:00,14.8,1010.4,56.0,0
4/17/2015 8:00:00,15.3,1010.4,54.0,0
4/17/2015 8:10:00,16.1,1010.4,51.0,0
4/17/2015 8:20:00,17.1,1010.4,49.0,0
4/17/2015 8:30:00,17.9,1010.4,47.0,0
4/17/2015 8:40:00,18.8,1010.4,44.0,0
4/17/2015 8:50:00,19.5,1010.4,40.0,0
4/17/2015 9:00:00,20.2,1010.4,38.0,0
4/17/2015 9:10:00,20.4,1010.7,37.0,0
4/17/2015 9:20:00,20.9,1010.7,37.0,0
4/17/2015 9:30:00,20.8,1010.7,36.0,0
4/17/2015 9:40:00,21.2,1010.7,36.0,0
4/17/2015 9:50:00,21.9,1010.7,34.0,0
4/17/2015 10:00:00,21.6,1010.7,34.0,0
4/17/2015 10:10:00,22.4,1010.7,34.0,0
4/17/2015 10:20:00,22.8,1010.7,33.0,0
4/17/2015 10:30:00,22.6,1010.7,33.0,0
4/17/2015 10:40:00,22.4,1010.7,34.0,0
4/17/2015 10:50:00,22.4,1010.7,34.0,0
4/17/2015 11:00:00,22.1,1010.7,35.0,0
4/17/2015 11:10:00,22.5,1010.7,36.0,0
4/17/2015 11:20:00,22.9,1010.7,36.0,0
4/17/2015 11:30:00,23.2,1010.7,35.0,0
4/17/2015 11:40:00,23.7,1010.4,35.0,0
4/17/2015 12:00:00,24.3,1010.4,33.0,0
4/17/2015 12:10:00,24.9,1010.0,32.0,0
4/17/2015 12:20:00,25.2,1009.7,31.0,0
4/17/2015 12:30:00,25.6,1009.4,31.0,0
4/17/2015 12:40:00,25.9,1009.4,27.0,0
4/17/2015 12:50:00,26.1,1009.0,27.0,0
4/17/2015 13:00:00,26.0,1009.0,28.0,0
4/17/2015 13:10:00,25.8,1009.0,28.0,0
4/17/2015 13:20:00,26.1,1009.0,28.0,0
4/17/2015 13:30:00,25.9,1008.7,28.0,0
4/17/2015 13:40:00,26.2,1008.7,28.0,0
4/17/2015 13:50:00,26.7,1008.4,28.0,0
4/17/2015 14:00:00,26.4,1008.4,25.0,0
4/17/2015 14:10:00,26.1,1008.0,29.0,0
4/17/2015 14:20:00,26.3,1008.0,26.0,0
4/17/2015 14:30:00,26.3,1007.7,27.0,0
4/17/2015 14:40:00,26.7,1007.3,26.0,0
4/17/2015 14:50:00,27.1,1007.3,25.0,0
4/17/2015 15:00:00,27.1,1007.3,25.0,0
4/17/2015 15:10:00,27.6,1007.0,24.0,0
4/17/2015 15:20:00,27.2,1006.7,25.0,0
4/17/2015 15:30:00,27.1,1006.7,26.0,0
4/17/2015 15:40:00,27.3,1006.3,26.0,0
4/17/2015 15:50:00,27.6,1006.0,25.0,0
4/17/2015 16:00:00,27.3,1006.0,26.0,0
4/17/2015 16:10:00,27.5,1005.6,26.0,0
4/17/2015 16:20:00,27.6,1005.6,26.0,0
4/17/2015 16:30:00,27.7,1005.3,26.0,0
4/17/2015 16:50:00,27.8,1005.0,25.0,0
4/17/2015 17:00:00,27.7,1004.6,26.0,1
4/17/2015 17:10:00,27.7,1004.6,25.0,1
4/17/2015 17:20:00,27.6,1004.6,26.0,1
4/17/2015 17:30:00,27.8,1004.6,26.0,1
4/17/2015 17:40:00,27.7,1004.6,26.0,1
4/17/2015 17:50:00,27.8,1004.3,25.0,1
4/17/2015 18:00:00,27.4,1004.3,26.0,1
4/17/2015 18:10:00,27.6,1004.3,26.0,1
4/17/2015 18:20:00,27.7,1004.3,26.0,1
4/17/2015 18:30:00,27.5,1004.3,26.0,1
4/17/2015 18:40:00,27.4,1004.3,27.0,1
4/17/2015 18:50:00,27.3,1004.3,27.0,1
4/17/2015 19:00:00,27.2,1004.3,27.0,1
4/17/2015 19:10:00,27.1,1004.3,27.0,1
4/17/2015 19:20:00,27.1,1004.3,27.0,1
4/17/2015 19:30:00,26.9,1004.6,27.0,1
4/17/2015 19:40:00,26.8,1004.6,26.0,1
4/17/2015 19:50:00,26.7,1005.0,26.0,1
4/17/2015 20:00:00,26.5,1005.0,27.0,1
4/17/2015 20:10:00,26.3,1005.0,26.0,1
4/17/2015 20:20:00,26.2,1005.0,27.0,1
4/17/2015 20:30:00,26.0,1005.3,27.0,1
4/17/2015 20:40:00,25.8,1005.3,28.0,1
4/17/2015 20:50:00,25.7,1005.6,28.0,1
4/17/2015 21:00:00,25.5,1005.6,28.0,0
4/17/2015 21:10:00,25.3,1006.0,29.0,0
4/17/2015 21:20:00,25.1,1006.3,30.0,0
4/17/2015 21:30:00,24.8,1006.3,31.0,0
4/17/2015 21:40:00,24.5,1006.7,32.0,0
4/17/2015 21:50:00,24.2,1006.7,33.0,0
4/17/2015 22:00:00,23.8,1006.7,33.0,0
4/17/2015 22:10:00,23.6,1007.0,34.0,0
4/17/2015 22:20:00,23.3,1007.0,35.0,0
4/17/2015 22:30:00,23.1,1007.3,37.0,0
4/17/2015 22:40:00,22.8,1007.3,36.0,0
4/17/2015 22:50:00,22.6,1007.3,37.0,0
4/17/2015 23:00:00,22.5,1007.7,37.0,0
4/17/2015 23:10:00,22.4,1007.7,38.0,0
4/17/2015 23:20:00,22.3,1007.7,38.0,0
4/17/2015 23:30:00,22.2,1007.7,39.0,0
4/17/2015 23:40:00,22.1,1008.0,38.0,0
4/17/2015 23:50:00,21.9,1007.7,38.0,0
4/18/2015 0:00:00,21.8,1007.7,39.0,0
4/18/2015 0:10:00,21.7,1008.0,38.0,0
4/18/2015 0:20:00,21.7,1008.0,39.0,0
4/18/2015 0:30:00,21.6,1008.0,39.0,0
4/18/2015 0:40:00,21.5,1008.0,39.0,0
4/18/2015 0:50:00,21.4,1008.0,40.0,0
4/18/2015 1:00:00,21.2,1007.7,39.0,0
4/18/2015 1:10:00,21.2,1007.7,42.0,0
4/18/2015 1:20:00,20.9,1007.7,42.0,0
4/18/2015 1:30:00,20.7,1007.3,43.0,0
4/18/2015 1:40:00,20.5,1007.3,41.0,0
